"Carimbo de data/hora","Em que período você se encontra?","Que curso você faz?","Em que campus você estuda?","Você acredita que as vagas ofertadas no RAE foram suficientes?","Com relação às disciplinas que queria cursar, você conseguiu se matricular em:","No geral, você acha o RAE:","Você acredita que o seu desempenho no RAE, em comparação com o presencial:","Na sua opinião, a qualidade do ensino no RAE, em comparação com o presencial, é:","Você acredita que o RAE afetou sua saúde mental para:","No que diz respeito a dificuldades técnicas (queda de internet ou energia, indisponibilidade de equipamento etc), você passa por elas:","Na sua opinião, os professores são tolerantes com imprevistos que impossibilitem a realização de atividades?","No geral, você acha que essas dificuldades prejudicam o seu desempenho?","Em geral, você acha que a atuação dos professores no RAE é/está sendo:","Na sua experiência, o atendimento individual dos professores aos alunos está sendo:","Na sua opinião, em comparação com o regime presencial, no RAE os professores estão:","No geral, em comparação com o regime presencial, você acha que o volume de atividades exigidas no RAE é:","Você julga esse volume de atividades abusivo?","Como você avalia a atuação da UFCG diante da pandemia?","Como você avalia o desempenho da coordenação do seu curso no atendimento e suporte aos estudantes no RAE?"
"2020/10/26 6:56:03 PM GMT-3","5","Engenharia Mecânica","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Boa","Bom"
"2020/10/26 7:38:08 PM GMT-3","4","Psicologia","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Menos exigentes","Muito maior","Sim","Ruim","Bom"
"2020/10/26 7:41:30 PM GMT-3","5","Engenharia Civil","Campina Grande","Não","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Inexistente","Tão exigentes quanto","Igual","Não","Não sei/Não quero responder","Não sei/Não quero responder"
"2020/10/26 8:18:58 PM GMT-3","7","Administração","Campina Grande","Sim","Todas","Excelente","Melhorou","Melhor","Não afetou","Raramente","Não sei/Não quero responder","Nao","Boa","Razoável","Tão exigentes quanto","Igual","Não","Péssima","Regular"
"2020/10/26 9:36:04 PM GMT-3","5","Estatística","Campina Grande","Não","Todas","Bom","Piorou","Pior","Não afetou","Nunca","Sim","Nao","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Excelente"
"2020/10/26 11:20:31 PM GMT-3","1","Administração","Sousa","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Não","Regular","Bom"
"2020/10/26 11:24:20 PM GMT-3","2","Ciências Econômicas","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Nao","Péssima","Não sei/Não quero responder","Menos exigentes","Maior","Sim","Regular","Regular"
"2020/10/26 11:45:44 PM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Excelente","Insuficiente","Tão exigentes quanto","Muito maior","Não","Regular","Excelente"
"2020/10/27 7:35:28 AM GMT-3","1","Ciências Biológicas","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"2020/10/27 7:36:00 AM GMT-3","1","Ciências Biológicas","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Não sei/Não quero responder","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"2020/10/27 7:39:22 AM GMT-3","3","Ciências Biológicas","Cajazeiras","Não","Algumas","Razoável","Não mudou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Razoável","Mais exigentes","Maior","Não","Regular","Regular"
"2020/10/27 7:52:55 AM GMT-3","3","Ciências Biológicas","Cajazeiras","Sim","Algumas","Bom","Piorou","Pior","Não sei/Não quero responder","Raramente","Sim","Sim","Boa","Razoável","Não sei/Não quero responder","Muito maior","Não sei/Não quero responder","Boa","Excelente"
"2020/10/27 8:11:54 AM GMT-3","7","Ciências Biológicas","Cajazeiras","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Maior","Não","Regular","Bom"
"2020/10/27 8:30:01 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Melhorou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Péssima","Excelente"
"2020/10/27 8:30:59 AM GMT-3","3","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Maior","Sim","Regular","Excelente"
"2020/10/27 8:31:02 AM GMT-3","9","Engenharia Civil","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não sei/Não quero responder","Regular","Ruim"
"2020/10/27 8:31:32 AM GMT-3","6","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Melhorou","Igual","Não sei/Não quero responder","Frequentemente","Não","Não sei/Não quero responder","Razoável","Inexistente","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"2020/10/27 8:32:19 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Não sei/Não quero responder","Boa","Bom","Menos exigentes","Maior","Não","Boa","Excelente"
