"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"1","2020/10/26 6:56:03 PM GMT-3","5","Engenharia Mecânica","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Boa","Bom"
"2","2020/10/26 7:38:08 PM GMT-3","4","Psicologia","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Menos exigentes","Muito maior","Sim","Ruim","Bom"
"3","2020/10/26 7:41:30 PM GMT-3","5","Engenharia Civil","Campina Grande","Não","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Inexistente","Tão exigentes quanto","Igual","Não","Não sei/Não quero responder","Não sei/Não quero responder"
"4","2020/10/26 8:18:58 PM GMT-3","7","Administração","Campina Grande","Sim","Todas","Excelente","Melhorou","Melhor","Não afetou","Raramente","Não sei/Não quero responder","Nao","Boa","Razoável","Tão exigentes quanto","Igual","Não","Péssima","Regular"
"5","2020/10/26 9:36:04 PM GMT-3","5","Estatística","Campina Grande","Não","Todas","Bom","Piorou","Pior","Não afetou","Nunca","Sim","Nao","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Excelente"
"7","2020/10/26 11:24:20 PM GMT-3","2","Ciências Econômicas","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Nao","Péssima","Não sei/Não quero responder","Menos exigentes","Maior","Sim","Regular","Regular"
"8","2020/10/26 11:45:44 PM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Excelente","Insuficiente","Tão exigentes quanto","Muito maior","Não","Regular","Excelente"
"14","2020/10/27 8:30:01 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Melhorou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Péssima","Excelente"
"15","2020/10/27 8:30:59 AM GMT-3","3","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Maior","Sim","Regular","Excelente"
"16","2020/10/27 8:31:02 AM GMT-3","9","Engenharia Civil","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não sei/Não quero responder","Regular","Ruim"
"17","2020/10/27 8:31:32 AM GMT-3","6","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Melhorou","Igual","Não sei/Não quero responder","Frequentemente","Não","Não sei/Não quero responder","Razoável","Inexistente","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"18","2020/10/27 8:32:19 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Não sei/Não quero responder","Boa","Bom","Menos exigentes","Maior","Não","Boa","Excelente"
"19","2020/10/27 8:32:27 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Não mudou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Menos exigentes","Maior","Não","Boa","Excelente"
"20","2020/10/27 8:33:15 AM GMT-3","3","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Inexistente","Tão exigentes quanto","Muito maior","Sim","Ruim","Bom"
"21","2020/10/27 8:33:47 AM GMT-3","5","Engenharia de Produção","Campina Grande","Sim","Todas","Bom","Melhorou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Maior","Não","Ruim","Bom"
"22","2020/10/27 8:34:09 AM GMT-3","6","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Não","Regular","Excelente"
"23","2020/10/27 8:35:17 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Não mudou","Não sei/Não quero responder","Melhor","Raramente","Sim","Nao","Boa","Insuficiente","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"25","2020/10/27 8:37:25 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Todas","Razoável","Melhorou","Igual","Não afetou","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Razoável","Bom","Mais exigentes","Igual","Não sei/Não quero responder","Péssima","Não sei/Não quero responder"
"26","2020/10/27 8:38:26 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Sim","Todas","Bom","Melhorou","Igual","Melhor","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Não","Boa","Excelente"
"27","2020/10/27 8:39:23 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"28","2020/10/27 8:40:06 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Não","Todas","Ruim","Não mudou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Ruim","Não sei/Não quero responder","Mais exigentes","Maior","Sim","Péssima","Não sei/Não quero responder"
"29","2020/10/27 8:41:03 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Maior","Sim","Péssima","Péssimo"
"30","2020/10/27 8:42:06 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Piorou","Igual","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Ruim"
"31","2020/10/27 8:42:12 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Nao","Ruim","Razoável","Mais exigentes","Muito maior","Não","Regular","Bom"
