"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"502","2020/11/05 9:42:15 AM GMT-3","2","Farmácia","Cuité","Sim","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Não sei/Não quero responder"
"551","2020/11/05 10:21:21 AM GMT-3","2","Farmácia","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"553","2020/11/05 10:22:18 AM GMT-3","2","Farmácia","Cuité","Não","Não sei/Não quero responder","Razoável","Não mudou","Pior","Não sei/Não quero responder","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"557","2020/11/05 10:25:40 AM GMT-3","3","Farmácia","Cuité","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Não","Regular","Regular"
"558","2020/11/05 10:26:22 AM GMT-3","2","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"561","2020/11/05 10:28:19 AM GMT-3","7","Nutrição","Cuité","Não","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Não afetou","Raramente","Não","Não passo por essas dificuldades","Razoável","Razoável","Tão exigentes quanto","Maior","Não","Ruim","Bom"
"562","2020/11/05 10:28:26 AM GMT-3","2","Farmácia","Cuité","Sim","Todas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Nao","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"564","2020/11/05 10:29:32 AM GMT-3","3","Farmácia","Cuité","Não sei/Não quero responder","Todas","Ruim","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Ruim","Ruim"
"565","2020/11/05 10:30:03 AM GMT-3","6","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"566","2020/11/05 10:30:16 AM GMT-3","3","Química","Cuité","Sim","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Bom"
