"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"533","2020/11/05 10:04:11 AM GMT-3","9","Engenharia Florestal","Patos","Sim","Algumas","Bom","Melhorou","Igual","Pior","Raramente","Sim","Não passo por essas dificuldades","Boa","Excelente","Mais exigentes","Maior","Sim","Boa","Bom"
"677","2020/11/05 12:35:53 PM GMT-3","1","Medicina Veterinária","Patos","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Razoável","Razoável","Não sei/Não quero responder","Menor","Não","Ruim","Regular"
"824","2020/11/05 2:29:18 PM GMT-3","2","Ciências Biológicas","Patos","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Não sei/Não quero responder","Maior","Sim","Péssima","Regular"
"830","2020/11/05 2:35:06 PM GMT-3","5","Ciências Biológicas","Patos","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Regular","Regular"
"831","2020/11/05 2:35:12 PM GMT-3","2","Ciências Biológicas","Patos","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Ruim"
"835","2020/11/05 2:36:22 PM GMT-3","2","Ciências Biológicas","Patos","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"838","2020/11/05 2:37:21 PM GMT-3","2","Ciências Biológicas","Patos","Não","Algumas","Bom","Piorou","Pior","Pior","Raramente","Sim","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"839","2020/11/05 2:37:26 PM GMT-3","2","Ciências Biológicas","Patos","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Ruim"
"840","2020/11/05 2:37:38 PM GMT-3","2","Ciências Biológicas","Patos","Sim","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Mais exigentes","Maior","Sim","Não sei/Não quero responder","Não sei/Não quero responder"
"842","2020/11/05 2:38:39 PM GMT-3","2","Ciências Biológicas","Patos","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Razoável","Menos exigentes","Maior","Sim","Boa","Bom"
"846","2020/11/05 2:41:21 PM GMT-3","2","Ciências Biológicas","Patos","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Excelente","Mais exigentes","Muito maior","Sim","Ruim","Bom"
