"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"6","2020/10/26 11:20:31 PM GMT-3","1","Administração","Sousa","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Não","Regular","Bom"
"35","2020/10/27 8:48:45 AM GMT-3","10","Engenharia Elétrica","Sousa","Não sei/Não quero responder","Todas","Excelente","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Razoável","Razoável","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"509","2020/11/05 9:46:48 AM GMT-3","7","Direito","Sousa","Sim","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"804","2020/11/05 2:05:26 PM GMT-3","7","Direito","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"857","2020/11/05 2:49:45 PM GMT-3","7","Direito","Sousa","Sim","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"858","2020/11/05 2:51:04 PM GMT-3","7","Direito","Sousa","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Ruim"
"859","2020/11/05 2:51:13 PM GMT-3","7","Direito","Sousa","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"860","2020/11/05 2:51:25 PM GMT-3","7","Direito","Sousa","Sim","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Razoável","Razoável","Tão exigentes quanto","Muito maior","Sim","Ruim","Regular"
"861","2020/11/05 2:51:41 PM GMT-3","7","Direito","Sousa","Sim","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Ruim","Razoável","Menos exigentes","Muito maior","Sim","Ruim","Bom"
"862","2020/11/05 2:52:39 PM GMT-3","7","Direito","Sousa","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Maior","Sim","Ruim","Péssimo"
