"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"4","2020/10/26 8:18:58 PM GMT-3","7","Administração","Campina Grande","Sim","Todas","Excelente","Melhorou","Melhor","Não afetou","Raramente","Não sei/Não quero responder","Nao","Boa","Razoável","Tão exigentes quanto","Igual","Não","Péssima","Regular"
"6","2020/10/26 11:20:31 PM GMT-3","1","Administração","Sousa","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Não","Regular","Bom"
"499","2020/11/05 9:40:51 AM GMT-3","6","Administração","Campina Grande","Sim","Todas","Bom","Melhorou","Pior","Pior","Nunca","Sim","Nao","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"508","2020/11/05 9:46:43 AM GMT-3","6","Administração","Campina Grande","Sim","Todas","Bom","Não mudou","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Mais exigentes","Maior","Não sei/Não quero responder","Boa","Excelente"
"518","2020/11/05 9:55:18 AM GMT-3","5","Administração","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"519","2020/11/05 9:55:38 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Bom","Mais exigentes","Maior","Sim","Péssima","Bom"
"520","2020/11/05 9:56:20 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"521","2020/11/05 9:56:48 AM GMT-3","6","Administração","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Nunca","Não","Sim","Excelente","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"524","2020/11/05 9:58:00 AM GMT-3","8","Administração","Campina Grande","Sim","Todas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Nao","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"527","2020/11/05 9:59:35 AM GMT-3","3","Administração","Campina Grande","Não","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Muito maior","Não sei/Não quero responder","Regular","Excelente"
