"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"183","2020/10/27 1:42:51 PM GMT-3","4","Arte e Mídia","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Péssima","Não sei/Não quero responder"
"184","2020/10/27 1:46:14 PM GMT-3","3","Arte e Mídia","Campina Grande","Sim","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Não sei/Não quero responder","Nao","Excelente","Bom","Mais exigentes","Maior","Não","Regular","Bom"
"186","2020/10/27 1:50:13 PM GMT-3","6","Arte e Mídia","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Menos exigentes","Menor","Não","Ruim","Ruim"
"188","2020/10/27 1:52:12 PM GMT-3","1","Arte e Mídia","Campina Grande","Não sei/Não quero responder","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Frequentemente","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Não sei/Não quero responder"
"189","2020/10/27 1:54:45 PM GMT-3","4","Arte e Mídia","Campina Grande","Sim","Todas","Bom","Piorou","Pior","Melhor","Frequentemente","Sim","Nao","Excelente","Bom","Menos exigentes","Igual","Não","Boa","Bom"
"191","2020/10/27 1:56:10 PM GMT-3","4","Arte e Mídia","Campina Grande","Não sei/Não quero responder","Não sei/Não quero responder","Péssimo","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Péssima","Regular"
"193","2020/10/27 2:00:15 PM GMT-3","8","Arte e Mídia","Campina Grande","Sim","Todas","Bom","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Boa","Excelente","Mais exigentes","Maior","Sim","Boa","Excelente"
"194","2020/10/27 2:01:43 PM GMT-3","4","Arte e Mídia","Campina Grande","Não","Algumas","Razoável","Piorou","Igual","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Razoável","Tão exigentes quanto","Igual","Não sei/Não quero responder","Regular","Bom"
"196","2020/10/27 2:04:12 PM GMT-3","2","Arte e Mídia","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Bom"
"197","2020/10/27 2:04:12 PM GMT-3","8","Arte e Mídia","Campina Grande","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
