"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"9","2020/10/27 7:35:28 AM GMT-3","1","Ciências Biológicas","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"10","2020/10/27 7:36:00 AM GMT-3","1","Ciências Biológicas","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Não sei/Não quero responder","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"11","2020/10/27 7:39:22 AM GMT-3","3","Ciências Biológicas","Cajazeiras","Não","Algumas","Razoável","Não mudou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Razoável","Mais exigentes","Maior","Não","Regular","Regular"
"12","2020/10/27 7:52:55 AM GMT-3","3","Ciências Biológicas","Cajazeiras","Sim","Algumas","Bom","Piorou","Pior","Não sei/Não quero responder","Raramente","Sim","Sim","Boa","Razoável","Não sei/Não quero responder","Muito maior","Não sei/Não quero responder","Boa","Excelente"
"13","2020/10/27 8:11:54 AM GMT-3","7","Ciências Biológicas","Cajazeiras","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Maior","Não","Regular","Bom"
"24","2020/10/27 8:36:01 AM GMT-3","9","Ciências Biológicas","Cajazeiras","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Nao","Razoável","Bom","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"55","2020/10/27 9:16:27 AM GMT-3","9","Ciências Biológicas","Cajazeiras","Sim","Todas","Bom","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não sei/Não quero responder","Boa","Bom"
"141","2020/10/27 11:27:02 AM GMT-3","7","Ciências Biológicas","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Não sei/Não quero responder","Menos exigentes","Maior","Não","Não sei/Não quero responder","Não sei/Não quero responder"
"377","2020/10/30 10:06:05 AM GMT-3","5","Ciências Biológicas","Cajazeiras","Não","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Ruim","Bom"
"603","2020/11/05 10:55:01 AM GMT-3","6","Ciências Biológicas","Cuité","Não","Nenhuma","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Excelente","Excelente","Mais exigentes","Muito maior","Sim","Regular","Bom"
