"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"108","2020/10/27 10:52:53 AM GMT-3","2","Design","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Razoável","Insuficiente","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Regular","Ruim"
"109","2020/10/27 10:53:11 AM GMT-3","2","Design","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Maior","Não","Regular","Bom"
"110","2020/10/27 10:54:18 AM GMT-3","6","Design","Campina Grande","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Frequentemente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Ruim"
"111","2020/10/27 10:54:43 AM GMT-3","3","Design","Campina Grande","Não","Algumas","Razoável","Não mudou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Boa","Bom","Mais exigentes","Maior","Não","Regular","Regular"
"113","2020/10/27 10:55:07 AM GMT-3","7","Design","Campina Grande","Sim","Todas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Razoável","Mais exigentes","Maior","Não","Regular","Bom"
"115","2020/10/27 10:55:44 AM GMT-3","8","Design","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Pior","Nunca","Sim","Nao","Péssima","Inexistente","Menos exigentes","Menor","Não","Regular","Excelente"
"116","2020/10/27 10:56:07 AM GMT-3","7","Design","Campina Grande","Sim","Todas","Bom","Não mudou","Igual","Pior","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Menos exigentes","Menor","Não","Ruim","Excelente"
"117","2020/10/27 10:56:09 AM GMT-3","2","Design","Campina Grande","Sim","Algumas","Razoável","Não mudou","Igual","Melhor","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Igual","Não","Regular","Bom"
"118","2020/10/27 10:56:17 AM GMT-3","2","Design","Campina Grande","Sim","Algumas","Bom","Melhorou","Melhor","Não afetou","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Boa","Bom"
"119","2020/10/27 10:57:04 AM GMT-3","1","Design","Campina Grande","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"122","2020/10/27 10:59:35 AM GMT-3","7","Design","Campina Grande","Sim","Algumas","Bom","Não mudou","Pior","Melhor","Frequentemente","Sim","Sim","Boa","Inexistente","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"123","2020/10/27 11:00:01 AM GMT-3","4","Design","Campina Grande","Sim","Algumas","Não sei/Não quero responder","Piorou","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Sim","Não passo por essas dificuldades","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Regular"
"127","2020/10/27 11:10:36 AM GMT-3","4","Design","Campina Grande","Sim","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Mais exigentes","Maior","Não","Ruim","Bom"
"129","2020/10/27 11:12:14 AM GMT-3","1","Design","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Excelente","Bom","Tão exigentes quanto","Igual","Não","Regular","Bom"
"132","2020/10/27 11:14:04 AM GMT-3","4","Design","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Bom","Tão exigentes quanto","Igual","Não","Regular","Bom"
"134","2020/10/27 11:15:57 AM GMT-3","6","Design","Campina Grande","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Razoável","Insuficiente","Menos exigentes","Menor","Não","Ruim","Excelente"
"142","2020/10/27 11:27:08 AM GMT-3","10","Design","Campina Grande","Sim","Algumas","Razoável","Não mudou","Igual","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Regular","Bom"
"153","2020/10/27 11:41:45 AM GMT-3","8","Design","Campina Grande","Sim","Todas","Razoável","Piorou","Não sei/Não quero responder","Pior","Nunca","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Igual","Não sei/Não quero responder","Boa","Excelente"
"160","2020/10/27 11:57:30 AM GMT-3","5","Design","Campina Grande","Sim","Todas","Excelente","Não mudou","Igual","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Excelente","Bom","Tão exigentes quanto","Igual","Não","Boa","Excelente"
"161","2020/10/27 12:02:30 PM GMT-3","3","Design","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Pior","Não afetou","Nunca","Sim","Sim","Boa","Razoável","Menos exigentes","Menor","Não","Boa","Regular"
"167","2020/10/27 12:33:00 PM GMT-3","1","Design","Campina Grande","Não","Algumas","Bom","Não mudou","Não sei/Não quero responder","Não afetou","Raramente","Sim","Sim","Excelente","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Excelente"
"168","2020/10/27 12:35:30 PM GMT-3","4","Design","Campina Grande","Não","Algumas","Não sei/Não quero responder","Melhorou","Não sei/Não quero responder","Não afetou","Raramente","Não sei/Não quero responder","Sim","Razoável","Excelente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Bom"
"172","2020/10/27 12:42:50 PM GMT-3","7","Design","Campina Grande","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Nunca","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Igual","Não","Ruim","Excelente"
