"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"583","2020/11/05 10:40:16 AM GMT-3","2","Enfermagem","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Não","Péssima","Excelente"
"591","2020/11/05 10:47:03 AM GMT-3","3","Enfermagem","Cuité","Sim","Todas","Razoável","Não mudou","Não sei/Não quero responder","Pior","Raramente","Sim","Sim","Boa","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não sei/Não quero responder","Boa","Bom"
"592","2020/11/05 10:48:58 AM GMT-3","3","Enfermagem","Cuité","Não","Todas","Bom","Não mudou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Muito maior","Sim","Boa","Regular"
"597","2020/11/05 10:50:34 AM GMT-3","3","Enfermagem","Cuité","Não","Todas","Razoável","Não mudou","Pior","Não afetou","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Regular","Bom"
"599","2020/11/05 10:50:50 AM GMT-3","2","Enfermagem","Cuité","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Bom"
"606","2020/11/05 10:58:35 AM GMT-3","2","Enfermagem","Cuité","Não","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"608","2020/11/05 11:00:02 AM GMT-3","2","Enfermagem","Cuité","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Não sei/Não quero responder"
"614","2020/11/05 11:04:30 AM GMT-3","2","Enfermagem","Cuité","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Maior","Sim","Boa","Bom"
"635","2020/11/05 11:23:03 AM GMT-3","2","Enfermagem","Cuité","Não","Todas","Bom","Não mudou","Igual","Pior","Nunca","Sim","Não sei/Não quero responder","Boa","Bom","Tão exigentes quanto","Maior","Sim","Ruim","Bom"
"807","2020/11/05 2:09:36 PM GMT-3","5","Enfermagem","Cuité","Não","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Excelente","Mais exigentes","Maior","Sim","Péssima","Bom"
"810","2020/11/05 2:13:33 PM GMT-3","5","Enfermagem","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Bom"
