"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"646","2020/11/05 11:42:38 AM GMT-3","1","Engenharia Ambiental","Pombal","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Regular","Bom"
"704","2020/11/05 12:53:51 PM GMT-3","8","Engenharia Ambiental","Pombal","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Não sei/Não quero responder","Ruim","Regular"
"710","2020/11/05 12:54:33 PM GMT-3","7","Engenharia Ambiental","Pombal","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"712","2020/11/05 12:55:07 PM GMT-3","8","Engenharia Ambiental","Pombal","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Nao","Boa","Razoável","Mais exigentes","Muito maior","Sim","Boa","Bom"
"736","2020/11/05 1:01:17 PM GMT-3","8","Engenharia Ambiental","Pombal","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"776","2020/11/05 1:30:13 PM GMT-3","9","Engenharia Ambiental","Pombal","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Excelente","Bom","Tão exigentes quanto","Igual","Não","Regular","Bom"
"787","2020/11/05 1:45:46 PM GMT-3","8","Engenharia Ambiental","Pombal","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"1186","2020/11/05 6:00:42 PM GMT-3","1","Engenharia Ambiental","Pombal","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Não afetou","Raramente","Não","Sim","Ruim","Insuficiente","Não sei/Não quero responder","Maior","Sim","Ruim","Ruim"
"1423","2020/11/06 10:30:05 AM GMT-3","4","Engenharia Ambiental","Pombal","Sim","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Não","Nao","Boa","Bom","Mais exigentes","Maior","Sim","Péssima","Bom"
"1424","2020/11/06 10:30:23 AM GMT-3","4","Engenharia Ambiental","Pombal","Não sei/Não quero responder","Algumas","Ruim","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
