"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"3","2020/10/26 7:41:30 PM GMT-3","5","Engenharia Civil","Campina Grande","Não","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Inexistente","Tão exigentes quanto","Igual","Não","Não sei/Não quero responder","Não sei/Não quero responder"
"16","2020/10/27 8:31:02 AM GMT-3","9","Engenharia Civil","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não sei/Não quero responder","Regular","Ruim"
"504","2020/11/05 9:43:52 AM GMT-3","2","Engenharia Civil","Pombal","Não sei/Não quero responder","Todas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Não sei/Não quero responder","Boa","Bom","Tão exigentes quanto","Maior","Não","Não sei/Não quero responder","Excelente"
"526","2020/11/05 9:58:54 AM GMT-3","1","Engenharia Civil","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Não sei/Não quero responder","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Bom"
"554","2020/11/05 10:22:42 AM GMT-3","5","Engenharia Civil","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Não sei/Não quero responder","Regular","Regular"
"559","2020/11/05 10:26:35 AM GMT-3","1","Engenharia Civil","Campina Grande","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Muito maior","Não","Boa","Excelente"
"581","2020/11/05 10:37:06 AM GMT-3","4","Engenharia Civil","Pombal","Não","Algumas","Bom","Melhorou","Melhor","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Não","Boa","Bom"
"637","2020/11/05 11:25:55 AM GMT-3","1","Engenharia Civil","Campina Grande","Não","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Nunca","Não sei/Não quero responder","Não passo por essas dificuldades","Boa","Razoável","Menos exigentes","Maior","Sim","Regular","Excelente"
"643","2020/11/05 11:37:48 AM GMT-3","8","Engenharia Civil","Pombal","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Boa","Insuficiente","Menos exigentes","Igual","Não","Péssima","Excelente"
"668","2020/11/05 12:19:57 PM GMT-3","9","Engenharia Civil","Campina Grande","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
