"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"1","2020/10/26 6:56:03 PM GMT-3","5","Engenharia Mecânica","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Boa","Bom"
"915","2020/11/05 3:01:09 PM GMT-3","3","Engenharia Mecânica","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Ruim","Inexistente","Tão exigentes quanto","Maior","Sim","Péssima","Ruim"
"1111","2020/11/05 4:14:25 PM GMT-3","2","Engenharia Mecânica","Campina Grande","Não","Nenhuma","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Sim","Regular","Regular"
"1129","2020/11/05 4:35:02 PM GMT-3","2","Engenharia Mecânica","Campina Grande","Não","Algumas","Péssimo","Não mudou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Ruim","Insuficiente","Tão exigentes quanto","Igual","Não","Boa","Péssimo"
"1137","2020/11/05 4:49:44 PM GMT-3","2","Engenharia Mecânica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Menos exigentes","Maior","Não","Péssima","Ruim"
"1138","2020/11/05 4:50:24 PM GMT-3","2","Engenharia Mecânica","Campina Grande","Não","Algumas","Ruim","Não mudou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"1144","2020/11/05 4:59:32 PM GMT-3","2","Engenharia Mecânica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Nunca","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Igual","Não","Péssima","Ruim"
"1172","2020/11/05 5:33:28 PM GMT-3","9","Engenharia Mecânica","Campina Grande","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"1351","2020/11/06 9:06:36 AM GMT-3","3","Engenharia Mecânica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Inexistente","Tão exigentes quanto","Muito maior","Sim","Não sei/Não quero responder","Regular"
"1354","2020/11/06 9:07:19 AM GMT-3","10","Engenharia Mecânica","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Regular","Regular"
"1484","2020/11/06 12:40:08 PM GMT-3","4","Engenharia Mecânica","Campina Grande","Não","Algumas","Péssimo","Melhorou","Melhor","Pior","Raramente","Não","Sim","Razoável","Excelente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"1527","2020/11/06 9:33:45 PM GMT-3","2","Engenharia Mecânica","Campina Grande","Sim","Todas","Excelente","Não mudou","Igual","Não afetou","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Ruim"
