"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"532","2020/11/05 10:04:10 AM GMT-3","1","Engenharia de Alimentos","Pombal","Sim","Todas","Excelente","Melhorou","Igual","Pior","Frequentemente","Não","Sim","Péssima","Razoável","Não sei/Não quero responder","Muito maior","Sim","Boa","Excelente"
"556","2020/11/05 10:23:50 AM GMT-3","3","Engenharia de Alimentos","Pombal","Não","Algumas","Excelente","Melhorou","Melhor","Melhor","Raramente","Sim","Nao","Excelente","Excelente","Tão exigentes quanto","Maior","Não","Regular","Excelente"
"687","2020/11/05 12:50:23 PM GMT-3","7","Engenharia de Alimentos","Pombal","Sim","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Não","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Regular","Bom"
"725","2020/11/05 12:58:28 PM GMT-3","5","Engenharia de Alimentos","Pombal","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Maior","Sim","Boa","Péssimo"
"738","2020/11/05 1:02:45 PM GMT-3","7","Engenharia de Alimentos","Pombal","Sim","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"745","2020/11/05 1:10:07 PM GMT-3","7","Engenharia de Alimentos","Pombal","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Ruim","Razoável","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"759","2020/11/05 1:15:57 PM GMT-3","1","Engenharia de Alimentos","Pombal","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Muito maior","Sim","Regular","Regular"
"763","2020/11/05 1:17:23 PM GMT-3","5","Engenharia de Alimentos","Pombal","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Insuficiente","Tão exigentes quanto","Igual","Não","Regular","Regular"
"765","2020/11/05 1:19:22 PM GMT-3","2","Engenharia de Alimentos","Pombal","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Excelente"
"771","2020/11/05 1:25:08 PM GMT-3","2","Engenharia de Alimentos","Pombal","Sim","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Igual","Não","Excelente","Excelente"
"778","2020/11/05 1:31:36 PM GMT-3","2","Engenharia de Alimentos","Pombal","Sim","Não sei/Não quero responder","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Não sei/Não quero responder","Sim","Péssima","Péssimo"
"796","2020/11/05 1:53:49 PM GMT-3","4","Engenharia de Alimentos","Pombal","Não sei/Não quero responder","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Tão exigentes quanto","Igual","Não sei/Não quero responder","Ruim","Regular"
"803","2020/11/05 2:04:54 PM GMT-3","1","Engenharia de Alimentos","Pombal","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Sim","Ruim","Bom"
"845","2020/11/05 2:41:09 PM GMT-3","5","Engenharia de Alimentos","Pombal","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Regular","Regular"
"938","2020/11/05 3:06:28 PM GMT-3","4","Engenharia de Alimentos","Pombal","Sim","Algumas","Bom","Melhorou","Melhor","Melhor","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Não","Regular","Regular"
"994","2020/11/05 3:17:22 PM GMT-3","2","Engenharia de Alimentos","Campina Grande","Não","Algumas","Razoável","Não mudou","Não sei/Não quero responder","Pior","Raramente","Sim","Não passo por essas dificuldades","Razoável","Razoável","Mais exigentes","Muito maior","Não sei/Não quero responder","Regular","Regular"
"996","2020/11/05 3:18:06 PM GMT-3","7","Engenharia de Alimentos","Pombal","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Boa","Bom"
"1070","2020/11/05 3:53:28 PM GMT-3","7","Engenharia de Alimentos","Pombal","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Inexistente","Menos exigentes","Maior","Sim","Ruim","Bom"
"1105","2020/11/05 4:11:21 PM GMT-3","6","Engenharia de Alimentos","Pombal","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Péssima","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Péssimo"
"1131","2020/11/05 4:39:02 PM GMT-3","5","Engenharia de Alimentos","Pombal","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Maior","Sim","Regular","Bom"
"1166","2020/11/05 5:23:37 PM GMT-3","5","Engenharia de Alimentos","Pombal","Não sei/Não quero responder","Algumas","Bom","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Ruim","Regular"
"1451","2020/11/06 11:04:18 AM GMT-3","7","Engenharia de Alimentos","Campina Grande","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Não","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Regular","Regular"
"1536","2020/11/07 1:46:26 AM GMT-3","5","Engenharia de Alimentos","Campina Grande","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"1559","2020/11/07 11:25:11 PM GMT-3","1","Engenharia de Alimentos","Campina Grande","Não sei/Não quero responder","Algumas","Ruim","Piorou","Igual","Não afetou","Raramente","Não","Sim","Razoável","Razoável","Menos exigentes","Maior","Não","Ruim","Regular"
