"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"5","2020/10/26 9:36:04 PM GMT-3","5","Estatística","Campina Grande","Não","Todas","Bom","Piorou","Pior","Não afetou","Nunca","Sim","Nao","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Excelente"
"130","2020/10/27 11:12:42 AM GMT-3","3","Estatística","Campina Grande","Não","Todas","Ruim","Não mudou","Pior","Não afetou","Raramente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"131","2020/10/27 11:12:44 AM GMT-3","4","Estatística","Campina Grande","Não","Algumas","Não sei/Não quero responder","Piorou","Pior","Pior","Não sei/Não quero responder","Não","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"133","2020/10/27 11:15:17 AM GMT-3","7","Estatística","Campina Grande","Não","Algumas","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Raramente","Sim","Não sei/Não quero responder","Razoável","Razoável","Menos exigentes","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"135","2020/10/27 11:16:31 AM GMT-3","6","Estatística","Campina Grande","Não","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"136","2020/10/27 11:19:36 AM GMT-3","5","Estatística","Campina Grande","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Raramente","Não","Não passo por essas dificuldades","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"137","2020/10/27 11:24:04 AM GMT-3","8","Estatística","Campina Grande","Sim","Algumas","Bom","Não mudou","Igual","Não afetou","Nunca","Sim","Nao","Excelente","Excelente","Tão exigentes quanto","Igual","Não","Boa","Bom"
"138","2020/10/27 11:24:48 AM GMT-3","1","Estatística","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Muito maior","Não","Regular","Excelente"
"146","2020/10/27 11:34:02 AM GMT-3","1","Estatística","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Maior","Sim","Regular","Excelente"
"147","2020/10/27 11:34:06 AM GMT-3","7","Estatística","Campina Grande","Não","Todas","Razoável","Não mudou","Pior","Não afetou","Raramente","Não","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"151","2020/10/27 11:39:10 AM GMT-3","3","Estatística","Campina Grande","Sim","Todas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Razoável","Bom","Mais exigentes","Maior","Não","Boa","Excelente"
"155","2020/10/27 11:50:26 AM GMT-3","3","Estatística","Campina Grande","Não sei/Não quero responder","Todas","Bom","Melhorou","Melhor","Pior","Raramente","Não","Sim","Boa","Excelente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"158","2020/10/27 11:54:35 AM GMT-3","1","Estatística","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Maior","Sim","Regular","Bom"
"159","2020/10/27 11:57:15 AM GMT-3","1","Estatística","Campina Grande","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Razoável","Mais exigentes","Maior","Não sei/Não quero responder","Regular","Bom"
"166","2020/10/27 12:29:07 PM GMT-3","1","Estatística","Campina Grande","Não","Algumas","Razoável","Melhorou","Igual","Melhor","Raramente","Sim","Nao","Razoável","Bom","Tão exigentes quanto","Igual","Não","Regular","Excelente"
"179","2020/10/27 1:24:40 PM GMT-3","4","Estatística","Campina Grande","Não sei/Não quero responder","Algumas","Excelente","Melhorou","Melhor","Não afetou","Raramente","Sim","Nao","Excelente","Excelente","Tão exigentes quanto","Igual","Não","Regular","Excelente"
