"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"534","2020/11/05 10:04:21 AM GMT-3","3","Física","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Não","Regular","Ruim"
"1128","2020/11/05 4:34:28 PM GMT-3","6","Física","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Não sei/Não quero responder","Menos exigentes","Menor","Não","Regular","Bom"
"1350","2020/11/06 9:04:35 AM GMT-3","3","Física","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Ruim","Excelente"
"1407","2020/11/06 10:11:06 AM GMT-3","1","Física","Cuité","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Não sei/Não quero responder","Muito maior","Sim","Regular","Bom"
"1470","2020/11/06 11:51:26 AM GMT-3","1","Física","Cuité","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Igual","Não","Regular","Bom"
"1490","2020/11/06 1:39:43 PM GMT-3","1","Física","Cuité","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Muito maior","Sim","Regular","Bom"
"1491","2020/11/06 2:04:03 PM GMT-3","7","Física","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"1542","2020/11/07 11:30:43 AM GMT-3","3","Física","Cuité","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Razoável","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Regular","Regular"
"1546","2020/11/07 12:05:35 PM GMT-3","1","Física","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"1547","2020/11/07 12:30:58 PM GMT-3","3","Física","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Regular","Excelente"
