"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"311","2020/10/29 4:01:18 PM GMT-3","8","Geografia","Cajazeiras","Não","Todas","Razoável","Melhorou","Melhor","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Péssimo"
"312","2020/10/29 4:01:44 PM GMT-3","6","Geografia","Cajazeiras","Sim","Todas","Péssimo","Não mudou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Não","Ruim","Regular"
"313","2020/10/29 4:02:11 PM GMT-3","2","Geografia","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Sim","Boa","Excelente"
"314","2020/10/29 4:03:45 PM GMT-3","6","Geografia","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Não sei/Não quero responder","Raramente","Não","Sim","Razoável","Inexistente","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"315","2020/10/29 4:04:30 PM GMT-3","4","Geografia","Cajazeiras","Não","Todas","Razoável","Melhorou","Igual","Melhor","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Excelente","Excelente"
"316","2020/10/29 4:05:10 PM GMT-3","3","Geografia","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Boa","Insuficiente","Mais exigentes","Maior","Não","Regular","Regular"
"317","2020/10/29 4:05:33 PM GMT-3","1","Geografia","Cajazeiras","Sim","Todas","Ruim","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"318","2020/10/29 4:07:47 PM GMT-3","4","Geografia","Cajazeiras","Sim","Todas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Nao","Boa","Excelente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Bom"
"319","2020/10/29 4:10:43 PM GMT-3","2","Geografia","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Bom","Tão exigentes quanto","Maior","Não","Boa","Regular"
"320","2020/10/29 4:10:58 PM GMT-3","6","Geografia","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Regular","Regular"
