"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"68","2020/10/27 9:44:45 AM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"69","2020/10/27 9:44:55 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Regular","Excelente"
"70","2020/10/27 9:46:25 AM GMT-3","7","História","Cajazeiras","Não","Algumas","Ruim","Não mudou","Pior","Não afetou","Frequentemente","Sim","Nao","Boa","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
"71","2020/10/27 9:46:41 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"72","2020/10/27 9:47:18 AM GMT-3","9","História","Cajazeiras","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Bom","Menos exigentes","Maior","Não","Ruim","Excelente"
"74","2020/10/27 9:48:00 AM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Não sei/Não quero responder","Pior","Não sei/Não quero responder","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Não sei/Não quero responder"
"76","2020/10/27 9:48:40 AM GMT-3","5","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Boa","Excelente","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Regular","Bom"
"78","2020/10/27 9:48:58 AM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Regular","Bom"
"79","2020/10/27 9:49:59 AM GMT-3","5","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
"80","2020/10/27 9:50:12 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Ruim","Piorou","Igual","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Menos exigentes","Muito maior","Sim","Boa","Bom"
"81","2020/10/27 9:50:14 AM GMT-3","6","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Muito maior","Sim","Ruim","Excelente"
"82","2020/10/27 9:51:49 AM GMT-3","5","História","Cajazeiras","Sim","Algumas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Frequentemente","Sim","Não sei/Não quero responder","Excelente","Excelente","Tão exigentes quanto","Igual","Não","Boa","Excelente"
"84","2020/10/27 9:54:05 AM GMT-3","1","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Não sei/Não quero responder","Não afetou","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Boa","Insuficiente","Não sei/Não quero responder","Igual","Não","Regular","Bom"
"85","2020/10/27 9:54:24 AM GMT-3","10","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Menor","Não","Regular","Excelente"
"88","2020/10/27 10:04:05 AM GMT-3","6","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Bom","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Não sei/Não quero responder","Bom"
"91","2020/10/27 10:10:05 AM GMT-3","6","História","Cajazeiras","Não","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Sim","Sim","Razoável","Bom","Tão exigentes quanto","Maior","Sim","Ruim","Regular"
"93","2020/10/27 10:11:22 AM GMT-3","1","História","Cajazeiras","Sim","Não sei/Não quero responder","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Sim","Excelente","Bom"
"98","2020/10/27 10:17:52 AM GMT-3","5","História","Cajazeiras","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"105","2020/10/27 10:39:43 AM GMT-3","6","História","Cajazeiras","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Bom"
"114","2020/10/27 10:55:13 AM GMT-3","6","História","Cajazeiras","Sim","Todas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Não sei/Não quero responder","Boa","Bom"
"120","2020/10/27 10:57:14 AM GMT-3","10","História","Cajazeiras","Sim","Todas","Bom","Não mudou","Igual","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Boa","Bom"
"124","2020/10/27 11:03:47 AM GMT-3","5","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"125","2020/10/27 11:08:18 AM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Menor","Não","Boa","Bom"
"126","2020/10/27 11:09:00 AM GMT-3","1","História","Cajazeiras","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Maior","Sim","Ruim","Excelente"
"145","2020/10/27 11:33:52 AM GMT-3","7","História","Cajazeiras","Sim","Algumas","Ruim","Piorou","Pior","Não sei/Não quero responder","Raramente","Sim","Não passo por essas dificuldades","Razoável","Bom","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"152","2020/10/27 11:39:40 AM GMT-3","3","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Nao","Razoável","Razoável","Tão exigentes quanto","Maior","Não","Ruim","Regular"
"154","2020/10/27 11:46:24 AM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"156","2020/10/27 11:51:54 AM GMT-3","10","História","Cajazeiras","Não","Todas","Excelente","Piorou","Melhor","Pior","Raramente","Não","Sim","Excelente","Excelente","Menos exigentes","Menor","Não","Excelente","Excelente"
"165","2020/10/27 12:27:11 PM GMT-3","8","História","Cajazeiras","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Boa","Bom"
"171","2020/10/27 12:42:08 PM GMT-3","7","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Sim","Nao","Boa","Bom","Tão exigentes quanto","Igual","Sim","Regular","Bom"
"175","2020/10/27 12:48:36 PM GMT-3","1","História","Campina Grande","Não sei/Não quero responder","Todas","Razoável","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Não sei/Não quero responder","Menor","Não","Regular","Bom"
