"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"525","2020/11/05 9:58:18 AM GMT-3","1","Letras","Campina Grande","Não","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Frequentemente","Sim","Sim","Razoável","Excelente","Mais exigentes","Maior","Não","Ruim","Bom"
"682","2020/11/05 12:48:37 PM GMT-3","5","Letras","Campina Grande","Não","Todas","Razoável","Não mudou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Inexistente","Mais exigentes","Muito maior","Sim","Boa","Ruim"
"989","2020/11/05 3:16:07 PM GMT-3","4","Letras","Campina Grande","Sim","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Igual","Não","Regular","Bom"
"1202","2020/11/05 6:54:57 PM GMT-3","3","Letras","Campina Grande","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Excelente","Excelente"
"1250","2020/11/05 11:26:06 PM GMT-3","3","Letras","Campina Grande","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Razoável","Bom","Menos exigentes","Igual","Não","Regular","Regular"
"1299","2020/11/06 8:03:40 AM GMT-3","1","Letras","Campina Grande","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Boa","Não sei/Não quero responder","Tão exigentes quanto","Igual","Sim","Ruim","Bom"
"1339","2020/11/06 8:49:53 AM GMT-3","1","Letras","Cajazeiras","Sim","Todas","Bom","Não mudou","Igual","Não sei/Não quero responder","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Igual","Sim","Boa","Bom"
"1386","2020/11/06 9:42:41 AM GMT-3","9","Letras","Cajazeiras","Sim","Algumas","Razoável","Não mudou","Igual","Não afetou","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Igual","Não","Péssima","Bom"
"1390","2020/11/06 9:45:04 AM GMT-3","3","Letras","Cajazeiras","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Inexistente","Mais exigentes","Maior","Sim","Ruim","Ruim"
"1393","2020/11/06 9:49:01 AM GMT-3","3","Letras","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Muito maior","Sim","Ruim","Regular"
"1397","2020/11/06 9:53:20 AM GMT-3","3","Letras","Cajazeiras","Não sei/Não quero responder","Algumas","Ruim","Não mudou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Péssima","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"1398","2020/11/06 9:54:41 AM GMT-3","3","Letras","Cajazeiras","Sim","Algumas","Péssimo","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não","Regular","Regular"
"1399","2020/11/06 9:56:07 AM GMT-3","3","Letras","Campina Grande","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Regular","Excelente"
"1405","2020/11/06 10:07:50 AM GMT-3","3","Letras","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"1410","2020/11/06 10:13:23 AM GMT-3","4","Letras","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Ruim","Ruim"
"1413","2020/11/06 10:19:06 AM GMT-3","3","Letras","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Regular","Bom"
"1415","2020/11/06 10:20:38 AM GMT-3","3","Letras","Cajazeiras","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Ruim"
"1417","2020/11/06 10:26:27 AM GMT-3","3","Letras","Cajazeiras","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Mais exigentes","Maior","Não","Regular","Ruim"
"1454","2020/11/06 11:11:53 AM GMT-3","3","Letras","Cajazeiras","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Boa","Regular"
