"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"522","2020/11/05 9:57:01 AM GMT-3","1","Matemática","Campina Grande","Sim","Algumas","Excelente","Melhorou","Igual","Não afetou","Frequentemente","Sim","Sim","Excelente","Bom","Não sei/Não quero responder","Igual","Não","Excelente","Excelente"
"528","2020/11/05 10:01:46 AM GMT-3","7","Matemática","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"652","2020/11/05 11:50:32 AM GMT-3","5","Matemática","Campina Grande","Sim","Todas","Razoável","Não mudou","Igual","Não afetou","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Bom"
"675","2020/11/05 12:29:33 PM GMT-3","9","Matemática","Campina Grande","Não sei/Não quero responder","Todas","Razoável","Não mudou","Não sei/Não quero responder","Melhor","Raramente","Sim","Nao","Razoável","Insuficiente","Menos exigentes","Igual","Não","Regular","Regular"
"680","2020/11/05 12:41:39 PM GMT-3","5","Matemática","Campina Grande","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Insuficiente","Não sei/Não quero responder","Muito maior","Não","Regular","Bom"
"961","2020/11/05 3:08:50 PM GMT-3","1","Matemática","Campina Grande","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"1024","2020/11/05 3:32:41 PM GMT-3","10","Matemática","Cuité","Sim","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"1194","2020/11/05 6:24:17 PM GMT-3","7","Matemática","Cuité","Sim","Algumas","Razoável","Piorou","Igual","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"1212","2020/11/05 7:31:52 PM GMT-3","5","Matemática","Cuité","Não","Algumas","Bom","Piorou","Pior","Não afetou","Raramente","Não","Não passo por essas dificuldades","Boa","Razoável","Tão exigentes quanto","Maior","Sim","Excelente","Bom"
"1213","2020/11/05 7:37:52 PM GMT-3","9","Matemática","Cuité","Sim","Todas","Bom","Não mudou","Igual","Pior","Raramente","Não","Nao","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Boa","Excelente"
"1214","2020/11/05 7:40:05 PM GMT-3","10","Matemática","Cuité","Não","Todas","Razoável","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"1244","2020/11/05 10:56:18 PM GMT-3","1","Matemática","Cuité","Não","Todas","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Raramente","Sim","Nao","Excelente","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Não","Boa","Bom"
"1271","2020/11/06 7:33:01 AM GMT-3","10","Matemática","Cuité","Sim","Todas","Bom","Melhorou","Igual","Não afetou","Frequentemente","Sim","Nao","Boa","Bom","Tão exigentes quanto","Maior","Sim","Ruim","Regular"
"1272","2020/11/06 7:34:28 AM GMT-3","10","Matemática","Cuité","Não","Nenhuma","Razoável","Piorou","Pior","Não sei/Não quero responder","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Bom"
"1273","2020/11/06 7:34:38 AM GMT-3","8","Matemática","Cuité","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"1274","2020/11/06 7:35:15 AM GMT-3","1","Matemática","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"1277","2020/11/06 7:38:00 AM GMT-3","5","Matemática","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"1279","2020/11/06 7:39:27 AM GMT-3","5","Matemática","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Excelente","Menos exigentes","Muito maior","Sim","Boa","Bom"
"1280","2020/11/06 7:39:52 AM GMT-3","5","Matemática","Cuité","Sim","Todas","Razoável","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Mais exigentes","Maior","Sim","Boa","Excelente"
"1281","2020/11/06 7:42:45 AM GMT-3","1","Matemática","Cuité","Não","Algumas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Nao","Excelente","Bom","Menos exigentes","Igual","Não","Boa","Excelente"
"1282","2020/11/06 7:46:27 AM GMT-3","3","Matemática","Cuité","Não sei/Não quero responder","Todas","Ruim","Não mudou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Igual","Não","Boa","Bom"
"1289","2020/11/06 7:52:24 AM GMT-3","1","Matemática","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Não sei/Não quero responder","Mais exigentes","Igual","Não sei/Não quero responder","Ruim","Não sei/Não quero responder"
"1290","2020/11/06 7:52:55 AM GMT-3","5","Matemática","Cuité","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"1293","2020/11/06 7:55:55 AM GMT-3","5","Matemática","Cuité","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Bom"
"1300","2020/11/06 8:04:05 AM GMT-3","10","Matemática","Cuité","Não","Nenhuma","Péssimo","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Não sei/Não quero responder","Mais exigentes","Maior","Não","Boa","Bom"
"1307","2020/11/06 8:11:23 AM GMT-3","3","Matemática","Cuité","Sim","Não sei/Não quero responder","Ruim","Não sei/Não quero responder","Pior","Pior","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Razoável","Tão exigentes quanto","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Excelente"
"1308","2020/11/06 8:12:14 AM GMT-3","1","Matemática","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Péssima","Excelente"
"1315","2020/11/06 8:16:32 AM GMT-3","8","Matemática","Cuité","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Mais exigentes","Maior","Sim","Boa","Regular"
"1319","2020/11/06 8:20:32 AM GMT-3","3","Matemática","Cuité","Não sei/Não quero responder","Algumas","Razoável","Piorou","Igual","Não afetou","Raramente","Não sei/Não quero responder","Sim","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Menor","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"1320","2020/11/06 8:21:34 AM GMT-3","9","Matemática","Cuité","Sim","Todas","Razoável","Não mudou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Sim","Boa","Bom"
"1325","2020/11/06 8:29:14 AM GMT-3","1","Matemática","Cuité","Não","Todas","Razoável","Não mudou","Não sei/Não quero responder","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Igual","Sim","Regular","Regular"
"1327","2020/11/06 8:35:04 AM GMT-3","1","Matemática","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Boa","Razoável","Não sei/Não quero responder","Muito maior","Sim","Regular","Não sei/Não quero responder"
"1330","2020/11/06 8:39:12 AM GMT-3","3","Matemática","Cuité","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Regular","Bom"
"1333","2020/11/06 8:41:07 AM GMT-3","3","Matemática","Cuité","Não","Todas","Razoável","Piorou","Não sei/Não quero responder","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
"1334","2020/11/06 8:43:35 AM GMT-3","7","Matemática","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Não","Sim","Razoável","Inexistente","Tão exigentes quanto","Muito maior","Sim","Regular","Regular"
"1335","2020/11/06 8:44:29 AM GMT-3","5","Matemática","Cuité","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não sei/Não quero responder","Boa","Regular"
"1337","2020/11/06 8:49:03 AM GMT-3","1","Matemática","Cuité","Não","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Razoável","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Boa","Bom"
"1352","2020/11/06 9:06:49 AM GMT-3","3","Matemática","Cuité","Sim","Algumas","Ruim","Não mudou","Igual","Pior","Frequentemente","Sim","Sim","Boa","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"1364","2020/11/06 9:16:31 AM GMT-3","3","Matemática","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Razoável","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Excelente","Excelente"
"1367","2020/11/06 9:21:24 AM GMT-3","1","Matemática","Cuité","Não","Todas","Bom","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"1373","2020/11/06 9:28:54 AM GMT-3","3","Matemática","Cuité","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Excelente","Excelente"
"1374","2020/11/06 9:29:05 AM GMT-3","5","Matemática","Cuité","Sim","Todas","Razoável","Não mudou","Igual","Pior","Frequentemente","Sim","Sim","Excelente","Razoável","Mais exigentes","Maior","Sim","Boa","Bom"
"1377","2020/11/06 9:30:12 AM GMT-3","10","Matemática","Cuité","Não","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Sim","Nao","Razoável","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
"1387","2020/11/06 9:43:27 AM GMT-3","1","Matemática","Cuité","Não","Algumas","Bom","Não mudou","Pior","Não afetou","Nunca","Não","Nao","Boa","Bom","Tão exigentes quanto","Igual","Não","Boa","Bom"
"1394","2020/11/06 9:50:57 AM GMT-3","5","Matemática","Cuité","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Maior","Sim","Regular","Não sei/Não quero responder"
"1411","2020/11/06 10:15:04 AM GMT-3","7","Matemática","Cuité","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Raramente","Não","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Excelente","Excelente"
"1421","2020/11/06 10:29:13 AM GMT-3","6","Matemática","Cuité","Sim","Algumas","Bom","Piorou","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Sim","Não passo por essas dificuldades","Boa","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não","Boa","Não sei/Não quero responder"
"1422","2020/11/06 10:29:38 AM GMT-3","3","Matemática","Cuité","Não sei/Não quero responder","Nenhuma","Ruim","Piorou","Pior","Não afetou","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Não","Excelente","Bom"
"1435","2020/11/06 10:40:16 AM GMT-3","2","Matemática","Cuité","Não sei/Não quero responder","Algumas","Bom","Não mudou","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Razoável","Não sei/Não quero responder","Maior","Não","Regular","Bom"
"1441","2020/11/06 10:52:20 AM GMT-3","4","Matemática","Cuité","Não","Algumas","Razoável","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Não sei/Não quero responder","Menor","Não","Regular","Excelente"
"1443","2020/11/06 10:56:59 AM GMT-3","1","Matemática","Cuité","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Frequentemente","Sim","Nao","Boa","Bom","Não sei/Não quero responder","Muito maior","Não sei/Não quero responder","Boa","Bom"
"1455","2020/11/06 11:12:31 AM GMT-3","5","Matemática","Cuité","Sim","Todas","Ruim","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Razoável","Bom","Não sei/Não quero responder","Igual","Não","Boa","Bom"
"1462","2020/11/06 11:41:18 AM GMT-3","3","Matemática","Cuité","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Muito maior","Não","Regular","Regular"
"1469","2020/11/06 11:51:16 AM GMT-3","1","Matemática","Cuité","Não sei/Não quero responder","Algumas","Razoável","Não mudou","Igual","Não afetou","Frequentemente","Sim","Nao","Razoável","Razoável","Tão exigentes quanto","Igual","Não","Boa","Regular"
"1479","2020/11/06 12:21:45 PM GMT-3","5","Matemática","Cuité","Sim","Todas","Razoável","Não mudou","Não sei/Não quero responder","Não afetou","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Excelente","Razoável","Menos exigentes","Maior","Não sei/Não quero responder","Boa","Bom"
"1482","2020/11/06 12:32:11 PM GMT-3","1","Matemática","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Regular","Regular"
"1483","2020/11/06 12:32:58 PM GMT-3","1","Matemática","Cuité","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Muito menor","Sim","Boa","Bom"
"1488","2020/11/06 1:07:22 PM GMT-3","10","Matemática","Cuité","Não","Não sei/Não quero responder","Razoável","Piorou","Pior","Não afetou","Raramente","Não sei/Não quero responder","Sim","Boa","Bom","Mais exigentes","Maior","Não","Boa","Bom"
"1494","2020/11/06 2:27:42 PM GMT-3","9","Matemática","Cuité","Não","Algumas","Ruim","Não mudou","Pior","Não afetou","Raramente","Não","Nao","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Bom"
"1517","2020/11/06 6:12:03 PM GMT-3","1","Matemática","Cuité","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Não sei/Não quero responder","Razoável","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Não sei/Não quero responder","Excelente"
"1519","2020/11/06 6:55:14 PM GMT-3","1","Matemática","Cuité","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Excelente","Bom","Menos exigentes","Igual","Não","Boa","Não sei/Não quero responder"
"1524","2020/11/06 8:44:05 PM GMT-3","4","Matemática","Cuité","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Regular","Regular"
"1531","2020/11/06 10:29:02 PM GMT-3","1","Matemática","Cuité","Não","Nenhuma","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Inexistente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"1535","2020/11/07 12:36:18 AM GMT-3","3","Matemática","Cuité","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"1539","2020/11/07 9:30:23 AM GMT-3","4","Matemática","Cuité","Não","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Excelente"
"1540","2020/11/07 11:10:57 AM GMT-3","5","Matemática","Cuité","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Não","Regular","Ruim"
"1541","2020/11/07 11:29:31 AM GMT-3","5","Matemática","Cuité","Sim","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"1545","2020/11/07 11:45:54 AM GMT-3","3","Matemática","Cuité","Não sei/Não quero responder","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Frequentemente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"1558","2020/11/07 9:52:43 PM GMT-3","10","Matemática","Cuité","Sim","Todas","Excelente","Melhorou","Melhor","Não afetou","Raramente","Não","Nao","Excelente","Razoável","Tão exigentes quanto","Igual","Não","Excelente","Não sei/Não quero responder"
"1560","2020/11/08 7:25:48 AM GMT-3","9","Matemática","Cuité","Não sei/Não quero responder","Nenhuma","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Inexistente","Não sei/Não quero responder","Muito maior","Sim","Péssima","Regular"
"1563","2020/11/09 7:55:12 AM GMT-3","10","Matemática","Cuité","Sim","Todas","Razoável","Não mudou","Pior","Não afetou","Raramente","Não","Sim","Razoável","Inexistente","Tão exigentes quanto","Maior","Sim","Boa","Excelente"
