"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"494","2020/11/05 9:35:51 AM GMT-3","2","Medicina","Cajazeiras","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Nao","Razoável","Bom","Não sei/Não quero responder","Maior","Sim","Péssima","Regular"
"497","2020/11/05 9:39:55 AM GMT-3","2","Medicina","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"498","2020/11/05 9:40:03 AM GMT-3","5","Medicina","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Não sei/Não quero responder","Muito maior","Sim","Péssima","Péssimo"
"503","2020/11/05 9:43:27 AM GMT-3","5","Medicina","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Nunca","Sim","Não passo por essas dificuldades","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"505","2020/11/05 9:45:26 AM GMT-3","5","Medicina","Campina Grande","Sim","Todas","Excelente","Melhorou","Melhor","Não afetou","Raramente","Não","Nao","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Regular","Ruim"
"506","2020/11/05 9:45:44 AM GMT-3","5","Medicina","Campina Grande","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Não","Ruim","Péssimo"
"511","2020/11/05 9:47:09 AM GMT-3","2","Medicina","Campina Grande","Não","Todas","Razoável","Não mudou","Igual","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Não","Péssima","Péssimo"
"512","2020/11/05 9:47:18 AM GMT-3","5","Medicina","Campina Grande","Sim","Todas","Razoável","Não mudou","Igual","Pior","Nunca","Não","Não passo por essas dificuldades","Boa","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Péssima","Péssimo"
"515","2020/11/05 9:50:45 AM GMT-3","5","Medicina","Campina Grande","Sim","Todas","Razoável","Melhorou","Melhor","Não afetou","Nunca","Não","Não passo por essas dificuldades","Ruim","Insuficiente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Péssima","Péssimo"
"516","2020/11/05 9:52:14 AM GMT-3","2","Medicina","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Razoável","Bom","Menos exigentes","Menor","Não","Ruim","Regular"
