"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"561","2020/11/05 10:28:19 AM GMT-3","7","Nutrição","Cuité","Não","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Não afetou","Raramente","Não","Não passo por essas dificuldades","Razoável","Razoável","Tão exigentes quanto","Maior","Não","Ruim","Bom"
"567","2020/11/05 10:30:21 AM GMT-3","6","Nutrição","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Não sei/Não quero responder","Regular","Regular"
"595","2020/11/05 10:49:13 AM GMT-3","5","Nutrição","Cuité","Não sei/Não quero responder","Algumas","Bom","Piorou","Não sei/Não quero responder","Pior","Nunca","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"600","2020/11/05 10:52:14 AM GMT-3","5","Nutrição","Cuité","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Nao","Excelente","Excelente","Tão exigentes quanto","Maior","Não","Regular","Regular"
"602","2020/11/05 10:53:59 AM GMT-3","5","Nutrição","Cuité","Não","Todas","Razoável","Piorou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Maior","Sim","Regular","Bom"
"604","2020/11/05 10:56:16 AM GMT-3","5","Nutrição","Cuité","Não sei/Não quero responder","Algumas","Razoável","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Sim","Ruim","Bom"
"609","2020/11/05 11:00:15 AM GMT-3","6","Nutrição","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Igual","Sim","Regular","Regular"
"619","2020/11/05 11:12:00 AM GMT-3","5","Nutrição","Cuité","Não","Todas","Não sei/Não quero responder","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Bom","Não sei/Não quero responder","Muito maior","Sim","Regular","Excelente"
"638","2020/11/05 11:26:32 AM GMT-3","5","Nutrição","Cuité","Não","Todas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Nao","Razoável","Bom","Menos exigentes","Igual","Não","Regular","Ruim"
"645","2020/11/05 11:40:44 AM GMT-3","5","Nutrição","Cuité","Não","Algumas","Razoável","Não mudou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Não","Regular","Ruim"
"667","2020/11/05 12:19:38 PM GMT-3","5","Nutrição","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Bom","Mais exigentes","Maior","Sim","Péssima","Regular"
"673","2020/11/05 12:24:52 PM GMT-3","5","Nutrição","Cuité","Não","Algumas","Razoável","Não mudou","Não sei/Não quero responder","Pior","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Bom","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Não sei/Não quero responder"
"744","2020/11/05 1:07:34 PM GMT-3","5","Nutrição","Cuité","Não","Todas","Razoável","Piorou","Igual","Não afetou","Raramente","Sim","Nao","Excelente","Bom","Tão exigentes quanto","Maior","Não","Regular","Regular"
"779","2020/11/05 1:32:39 PM GMT-3","6","Nutrição","Cuité","Não","Todas","Bom","Piorou","Igual","Pior","Nunca","Sim","Não passo por essas dificuldades","Excelente","Excelente","Menos exigentes","Maior","Sim","Ruim","Bom"
"788","2020/11/05 1:45:47 PM GMT-3","5","Nutrição","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Não sei/Não quero responder","Não sei/Não quero responder"
"794","2020/11/05 1:52:15 PM GMT-3","5","Nutrição","Cuité","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Excelente","Menos exigentes","Igual","Não","Boa","Regular"
"795","2020/11/05 1:52:32 PM GMT-3","5","Nutrição","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Sim","Regular","Regular"
