"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"2","2020/10/26 7:38:08 PM GMT-3","4","Psicologia","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Menos exigentes","Muito maior","Sim","Ruim","Bom"
"101","2020/10/27 10:25:37 AM GMT-3","5","Psicologia","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Ruim","Inexistente","Menos exigentes","Maior","Sim","Péssima","Regular"
"121","2020/10/27 10:59:23 AM GMT-3","4","Psicologia","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Ruim","Regular"
"310","2020/10/29 3:12:57 PM GMT-3","4","Psicologia","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Péssima","Ruim"
"514","2020/11/05 9:47:46 AM GMT-3","2","Psicologia","Campina Grande","Não","Algumas","Bom","Piorou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Boa","Bom","Menos exigentes","Menor","Não sei/Não quero responder","Regular","Bom"
"548","2020/11/05 10:13:36 AM GMT-3","2","Psicologia","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Péssima","Bom"
"563","2020/11/05 10:28:46 AM GMT-3","1","Psicologia","Campina Grande","Não","Todas","Excelente","Melhorou","Melhor","Melhor","Nunca","Não","Não passo por essas dificuldades","Boa","Excelente","Mais exigentes","Maior","Não","Péssima","Regular"
"654","2020/11/05 11:52:38 AM GMT-3","10","Psicologia","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Regular","Bom"
"659","2020/11/05 11:55:08 AM GMT-3","8","Psicologia","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Insuficiente","Tão exigentes quanto","Menor","Não sei/Não quero responder","Regular","Regular"
"666","2020/11/05 12:12:55 PM GMT-3","5","Psicologia","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Melhor","Frequentemente","Não","Sim","Boa","Inexistente","Menos exigentes","Muito maior","Sim","Péssima","Péssimo"
"729","2020/11/05 12:59:07 PM GMT-3","4","Psicologia","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Inexistente","Não sei/Não quero responder","Igual","Não","Ruim","Excelente"
"808","2020/11/05 2:10:33 PM GMT-3","1","Psicologia","Campina Grande","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"894","2020/11/05 2:58:48 PM GMT-3","2","Psicologia","Campina Grande","Não","Todas","Razoável","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Igual","Não","Ruim","Bom"
"1201","2020/11/05 6:44:46 PM GMT-3","1","Psicologia","Campina Grande","Não","Algumas","Razoável","Piorou","Igual","Pior","Raramente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"1204","2020/11/05 7:00:01 PM GMT-3","2","Psicologia","Campina Grande","Não","Algumas","Razoável","Não mudou","Não sei/Não quero responder","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não","Ruim","Regular"
"1243","2020/11/05 10:47:28 PM GMT-3","3","Psicologia","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Muito maior","Não sei/Não quero responder","Regular","Excelente"
"1305","2020/11/06 8:08:55 AM GMT-3","1","Psicologia","Campina Grande","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Maior","Sim","Regular","Regular"
"1548","2020/11/07 12:51:20 PM GMT-3","1","Psicologia","Campina Grande","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"1549","2020/11/07 12:58:01 PM GMT-3","1","Psicologia","Campina Grande","Sim","Todas","Razoável","Piorou","Pior","Melhor","Frequentemente","Sim","Sim","Razoável","Insuficiente","Não sei/Não quero responder","Não sei/Não quero responder","Não","Regular","Ruim"
"1550","2020/11/07 1:00:49 PM GMT-3","1","Psicologia","Campina Grande","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Raramente","Não","Sim","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"1551","2020/11/07 1:18:13 PM GMT-3","1","Psicologia","Campina Grande","Não","Algumas","Bom","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Regular","Bom"
"1552","2020/11/07 2:00:53 PM GMT-3","1","Psicologia","Campina Grande","Não","Todas","Razoável","Piorou","Não sei/Não quero responder","Pior","Raramente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Regular"
"1556","2020/11/07 4:22:29 PM GMT-3","1","Psicologia","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Pior","Não afetou","Nunca","Sim","Nao","Excelente","Bom","Menos exigentes","Menor","Não","Ruim","Bom"
"1557","2020/11/07 4:25:20 PM GMT-3","1","Psicologia","Campina Grande","Não","Todas","Razoável","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Ruim","Regular"
