"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"566","2020/11/05 10:30:16 AM GMT-3","3","Química","Cuité","Sim","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Bom"
"617","2020/11/05 11:10:34 AM GMT-3","3","Química","Cuité","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Boa","Bom"
"670","2020/11/05 12:21:04 PM GMT-3","1","Química","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Inexistente","Tão exigentes quanto","Muito maior","Sim","Boa","Regular"
"991","2020/11/05 3:16:47 PM GMT-3","5","Química","Cuité","Sim","Todas","Péssimo","Piorou","Igual","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Regular","Bom"
"1002","2020/11/05 3:21:20 PM GMT-3","5","Química","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Excelente"
"1031","2020/11/05 3:35:02 PM GMT-3","5","Química","Cuité","Sim","Todas","Ruim","Não mudou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Excelente","Excelente"
"1058","2020/11/05 3:48:55 PM GMT-3","5","Química","Cuité","Não sei/Não quero responder","Todas","Bom","Melhorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Maior","Não sei/Não quero responder","Ruim","Excelente"
"1114","2020/11/05 4:17:47 PM GMT-3","1","Química","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não sei/Não quero responder","Raramente","Sim","Sim","Ruim","Inexistente","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"1258","2020/11/06 6:45:04 AM GMT-3","9","Química","Cuité","Não","Nenhuma","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"1259","2020/11/06 6:49:21 AM GMT-3","3","Química","Cuité","Sim","Todas","Bom","Melhorou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
